Sentence Num	English Sentence	Spanish Sentence	Judgment [0-5]	Spanish length	English length	Average	BERTscore
1	Most of the attacks are carried out by Pakistan-based former Taliban members sent into Afghanistan and funded by drug smuggling operations or supporters in Pakistan.	Los informes de prensa difieren en la cantidad de centrífugas citadas por Ahmadinejad.	0	86	165	125.5	0.687999
2	Afghanistan's Interior Minister Ali Ahmad Jalali stated that Taliban and remaining al-Qaeda militants are not capable of destabilizing the Afghan government despite their increased attacks on government and foreign targets.	Una agencia de noticias iraní informó que Ahmadinejab declaró que Irán tenía 6.000 centrífugas en funcionamiento, pero la agencia posteriormente eliminó la declaración de Internet.	0	180	223	201.5	0.687456
3	On January 17, 2002 a state radio reported that thirteen drug traffickers were killed and 10 arrested in Iran anti-drug sweeps.	Otra agencia de noticias iraní declaró que Ahmadinejad se refirió a cientos de miles de centrífugas.	0	100	127	113.5	0.685905
4	US President George W. Bush raised the US's concerns about Russian nuclear cooperation with Iran at the summit in Moscow last month between Bush and his Russian counterpart Vladimir Putin.	El experto en control de armamento, Jeffrey G. Lewis, del nuevo grupo de reflexión de la Fundación América declaró que la Fundación estaba al tanto del objetivo de Irán de montar 6.000 centrífugas, pero se desconoce el estado operativo de las máquinas.	0	252	188	220	0.667894
5	Iranian law states the death penalty for drug trafficking.	Un paquete respaldado por los Estados Unidos de incentivos para cesar la producción de uranio enriquecido	0	105	58	81.5	0.689165
6	Iranian Foreign Minister Kamal Kharazi stated the meeting must reinforce the friendship and speed up regional cooperation between Iran, Pakistan and Afghanistan.	20080726 durante las conversaciones en Ginebra a las que asistió el subsecretario de Estado de Estados Unidos, Williams J. Burns, Israel se negó a responder a las ofertas de Solana.	0	181	161	171	0.65005
7	According to the Nuclear Suppliers Group's mission statement countries act on an individual basis to block trades that violate export controls devised to maintain international cooperation on peaceful uses of nuclear energy.	Ahmadinejad declaró que Occidente había dado su consentimiento a las 5.000/6.000 centrífugas existentes en funcionamiento, siempre que el número no aumentara.	0	158	224	191	0.642651
8	North Korean officials refused to proceed with a February 2007 agreement to begin decommissioning the Yongbyon reactor until funds worth 25 million dollars in accounts linked to North Korea held in a Macao Bank were transferred to North Korea.	5.000 centrífugas pueden producir suficiente material nuclear para una planta de energía o una bomba atómica si el material es altamente enriquecido.	0	149	243	196	0.653252
9	Hill stated the shutdown could occur in a matter of weeks not months.	6.000 centrífugas que funcionan continuamente pueden producir suficiente uranio con grado armamentístico para una bomba en seis meses.	0	134	69	101.5	0.685706
10	In December 2002 police announced than an armed corps with Afghanistan, Pakistan and Turkmenistan was being assembled specifically to combat drug trafficking along Iran's borders.	Una reunión diplomática en París concluye sin un acuerdo sobre los pasos adicionales para presionar a Irán para detener el enriquecimiento de uranio en las instalaciones de Irán en Natanz.	0	188	179	183.5	0.702677
