Sentence Num	English Sentence	Chinese Sentence	Judgment [0-5]	Judgment [0-5]	BERTscore
1	Chapter 1 .	I	5	4	0.752802
2	Once when I was six years old I saw a magnificent picture in a book , called True Stories from Nature , about the primeval forest .	当我还只有六岁的时候，在一本描写原始森林的名叫《真实的故事》的书中，看到了一副精彩的插画，	5	5	0.745609
3	It was a picture of a boa constrictor in the act of swallowing an animal .	画的是一条蟒蛇正在吞食一只大野兽。	5	5	0.72413
4	I pondered deeply , then , over the adventures of the jungle .	当时，我对丛林中的奇遇想得很多，	5	4	0.712426
5	My Drawing Number One .	我的第一号作品。	5	4	0.694809
6	It looked like this : I showed my masterpiece to the grown - ups , and asked them whether the drawing frightened them .	它是这样的：我把我的这副杰作拿给大人看，我问他们我的画是不是叫他们害怕。	5	4	0.744203
7	But they answered : " Frighten ?	他们回答我说：”害怕？	5	5	0.754853
8	So then I chose another profession , and learned to pilot airplanes .	后来，我只好选择了另外一个职业，我学会了开飞机。	5	3	0.768926
9	At a glance I can distinguish China from Arizona .	我一眼就能分辨出中国和亚里桑那。	5	5	0.721314
10	I have lived a great deal among grown - ups .	我在大人们中间生活过很长时间。	5	5	0.739819
11	I have seen them intimately , close at hand .	我仔细地观察过他们，	5	4	0.69669
12	And that has n't much improved my opinion of them .	但这并没有使我对他们的看法有多大的改变。	5	5	0.712953
13	I would try to find out , so , if this was a person of true understanding .	我想知道他是否真的有理解能力。	5	5	0.714878
14	I would bring myself down to his level .	我只得迁就他的水平，	5	5	0.705637
15	I would talk to him about bridge , and golf , and politics , and neckties .	和他们谈些桥牌呀，高尔夫球呀，政治呀，领带呀这些。	5	3	0.684395
16	And the grown - up would be greatly pleased to have met such a sensible man .	于是大人们就十分高兴能认识我这样一个通情达理的人。	5	5	0.692695
17	Chapter 2 .	II。	5	4	0.783227
18	Something was broken in my engine .	我的发动机里有个东西损坏了。	5	5	0.737221
19	And as I had with me neither a mechanic nor any passengers , I set myself to attempt the difficult repairs all alone .	当时由于我既没有带机械师也没有带旅客，我就试图独自完成这个困难的维修工作。	5	5	0.710171
20	" What ! "	“啊？	5	3	0.751826
21	" Draw me a sheep ! "	“给我画一只羊…”	5	5	0.664866
22	I blinked my eyes hard .	我使劲地揉了揉眼睛，	5	5	0.646869
23	But my drawing is certainly very much less charming than its model .	可是，我的画当然要比他本人的模样逊色得多。	5	5	0.727506
24	He answered me : " That does n't matter .	他回答我说：“没有关系，	5	4	0.702752
25	Draw me a sheep ... "	给我画一只羊吧！”	5	3	0.675331
26	But I had never drawn a sheep .	因为我从来没有画过羊。	5	5	0.756578
27	Draw me a sheep . "	给我画一只羊吧。”	5	5	0.677303
28	This sheep is already very sickly .	这只羊已经病得很重了。	5	5	0.796279
29	My friend smiled gently and indulgently .	我的这位朋友天真可爱地笑了。	5	5	0.691391
30	It has horns . "	还有犄角呢。”	5	5	0.69477
31	But it was rejected too , just like the others .	这副画同前几副一样又被拒绝了。	5	4	0.6869
32	" This one is too old .	“这一只太老了。	5	5	0.75269
33	The sheep you asked for is inside . "	你要的羊就在里面。”	5	5	0.689886
34	I was very surprised to see a light break over the face of my young judge : " That is exactly the way I wanted it !	这时我十分惊奇地看到我的这位小评判员喜笑颜开。 他说：“这正是我想要的，	5	4	0.703976
35	" Why ? "	“为什么？”	5	5	0.707834
36	" Because where I live everything is very small ... "	“因为我住的地方一切都非常小…”	5	4	0.68143
37	I said .	我说	5	5	0.704528
38	What is this ' where I live , ' of which you speak ?	于是 他 惊奇 地 说道 ： “ 怎么 ？	0	5	0.574151
39	" My little man , where do you come from ?	说到 这里 ， 他 就 长 时间 地 陷入 沉思 之中 。	0	5	0.60749
40	" But if you do n't tie him , "	“ 不管 什么 地方 。	0	5	0.609106
41	 " That is so .	可是 他 不 回答 我 的 问题 。	0	4	0.683168
42	" No , no no !	一 只 羊	0	4	0.634822
43	" Then the thorns -- what use are they ? "	“ 它 碰到 什么 吃 什么 。 ” 我 回答 。	0	5	0.598009
44	" Oh ! "	“ 有 刺 的 也 吃 ！ ”	0	4	0.684422
