Sentence Num	English Sentence	Spanish Sentence	Judgment [0-5]
1	Iranian President Mahmoud ahmadinejad in Tehran played down the impact of any future Security Council resolution on the Iran's controversial nuclear program after world Powers stated they had agreed on a new United Nations measure.	Ahmadinejad anuncia la expansión de la capacidad de producción de uranio iraní.	2
2	Iranian state television stated that Mahmoud ahmadinejad stated that the Security Council should know that such illegal behaviour will be ineffective against the will of the Iranian people.	20080726 El presidente iraní Mahmoud Ahmadinejad declaró a los eruditos de la ciudad nororiental de Mashbad que Irán había expandido su arsenal de centrífugas que producen uranio enriquecido a más de 5.000.	2
3	President Mahmoud ahmadinejad has stated that previous resolutions are inconsequential and the sanctions will have no impact on Iran's nuclear program.	La declaración fue la primera de Ahmadinejad, afirmando una expansión desde el anuncio 20080400 de que Irán se acercaba a la implementación de 6.000 centrífugas.	2
4	Iran refuses commitment to halt expansion but hints a possible future halt.	La comunidad internacional ha exigido que Irán detenga la producción de material nuclear.	2
5	Solana, burns and European envoys set a deadline for Iran to respond positively before initiating new sanctions including prohibitions on selling Iran refined petroleum products vital to the country's economy.	El jefe de política exterior de la UE, Javier Solana, presentó recientemente dos ofertas a Irán:	2
6	US officials repeatedly stated that no negotiations can begin before Iran verifiably halts all enrichment-related activities but the Bush administration recently agreed to the' freeze for freeze' proposal and dispatch burns to Geneva.	Un período de «congelación por congelación» de prenegociación de seis semanas durante el cual Irán no añadiría centrífugas y Occidente se abstendría de promover una cuarta ronda de sanciones económicas contra Irán en el Consejo de Seguridad de la ONU.	2
7	Narcotics; military	Internacional; armas; proliferación ; Gobierno; política; energía	2
8	The economic growth of such countries as Korea , Thailand , Indonesia , Malaysia , and the Philippines all will clearly slow down .	Dijo que esta visita del viceprimer ministro y las visitas mutuas de otros líderes de alto nivel de China y Tailandia fueron beneficiosas para promover un mayor desarrollo de las relaciones y la cooperación eficiente en todos los campos entre los países.	2
9	Zumegloph said that the two countries of China and Kirghizia had a traditional friendly relationship and this relationship was increasingly strengthened and continuously developing .	Los principios de las partes interesadas de China y Kirguistán firmaron hoy seis documentos.	2
10	This afternoon , premier Peng Li and Zumegloph , premier of the Kirghizia government held a comprehensive and in - depth talk concerning developing bilateral economic and trade relations .	El primer ministro Peng Li y el presidente de Kirguistán, Akayev asistieron a la ceremonia de la firma.	2
11	First, even among couples who are together for months/years/decades, they generally will never actually live together, or share property.	El padre de mi hijo y yo estamos separados desde agosto.	2
12	the baby will be raised in the mother's home, and be a part of her family, not the father's.	Quiero que esté allí para su hijo sin necesidad de mí también.	2
13	in Mosuo culture, a man is responsible to care for the children of his sisters/nieces/aunts/etc. So Mosuo men still have full parenting responsibilities...perhaps even moreso, since they may end up sharing responsibility for the children of many family members.	No quiero que no esté allí para su hijo, ya que es un buen padre, o al menos, lo intenta.	2
14	Now, in some cases, Mosuo men DO want to be involved in their own childrens' upbringing.	Creo que cada niño necesita a ambos padres, tanto si están juntos como si no.	2
15	Media reports differed on the number of centrifuges ahmadinejad cited.	Los expertos descartaron la importancia de la afirmación de Ahmadinejad en ausencia de información sobre la funcionalidad de las centrífugas.	3
16	Iran will not succumb to international pressure to curb Iran's nuclear projects.	Los funcionarios iraníes se negaron a comprometerse a detener la expansión o cumplir el plazo.	3
17	Xinhua News Agency , Beijing , January 16th , by reporters Xingtang Xu and Yuhong Qian	Agencia de noticias Xinhua, Pekín, 11 de septiembre, por el periodista Guojun Yang.	3
18	This afternoon the Myanmaran and Thai governments signed an agreement on border trade between their two countries here .	Huaaqing Liu dijo que la gente de China y Tailandia tienen una amistad tradicional y la relación entre los dos países también fue muy amigable.	3
